LN = -7.80488; L2 = -0.113734
LN = -7.79456; L2 = -0.103384
LN = -7.79456; L2 = -0.103384
LN = -7.85921; L2 = -0.111802
LN = -7.85921; L2 = -0.111802
LN = -8.50962; L2 = -0.127867
LN = -8.50962; L2 = -0.127867
LN = -8.54718; L2 = -0.129724
LN = -8.54718; L2 = -0.129724
LN = -8.51; L2 = -0.127775
LN = -8.51; L2 = -0.127775
LN = -8.52397; L2 = -0.130607
LN = -8.52397; L2 = -0.130607
LN = -8.54754; L2 = -0.130859
LN = -8.54754; L2 = -0.130859
LN = -8.54753; L2 = -0.131253
LN = -8.54753; L2 = -0.131253
LN = -8.41885; L2 = -0.131778
LN = -8.41885; L2 = -0.131778
LN = -8.42873; L2 = -0.154032
LN = -8.42873; L2 = -0.154032
LN = -8.42661; L2 = -0.153513
LN = -8.42661; L2 = -0.153513
LN = -9.43968; L2 = -0.138219
LN = -9.43968; L2 = -0.138219
LN = -8.62601; L2 = -0.139227
LN = -8.62601; L2 = -0.139227
LN = -8.62174; L2 = -0.153255
LN = -8.62174; L2 = -0.153255
LN = -8.08219; L2 = -0.152857
LN = -8.08219; L2 = -0.152857
LN = -8.08166; L2 = -0.148373
LN = -8.08166; L2 = -0.148373
LN = -8.18658; L2 = -0.153499
LN = -8.18658; L2 = -0.153499
LN = -8.17387; L2 = -0.178934
LN = -8.17387; L2 = -0.178934
LN = -8.16709; L2 = -0.150881
LN = -8.16709; L2 = -0.150881
LN = -8.20267; L2 = -0.15044
LN = -8.20267; L2 = -0.15044
LN = -8.16109; L2 = -0.148619
LN = -8.16109; L2 = -0.148619
LN = -8.8513; L2 = -0.147463
LN = -8.8513; L2 = -0.147463
LN = -8.8908; L2 = -0.155285
LN = -8.8908; L2 = -0.155285
LN = -8.9349; L2 = -0.146595
LN = -8.9349; L2 = -0.146595
LN = -8.93639; L2 = -0.135464
LN = -8.93639; L2 = -0.135464
LN = -8.94039; L2 = -0.133329
LN = -8.94039; L2 = -0.133329
LN = -8.93777; L2 = -0.135541
LN = -8.93777; L2 = -0.135541
LN = -8.93777; L2 = -0.136558
LN = -8.93777; L2 = -0.136558
LN = -8.93665; L2 = -0.175951
LN = -8.93665; L2 = -0.175951
LN = -8.99418; L2 = -0.180917
LN = -8.99418; L2 = -0.180917
LN = -8.66992; L2 = -0.181476
LN = -8.66992; L2 = -0.181476
LN = -8.66586; L2 = -0.185489
LN = -8.66586; L2 = -0.185489
LN = -8.83505; L2 = -0.200101
LN = -8.83505; L2 = -0.200101
LN = -8.88529; L2 = -0.199768
LN = -8.88529; L2 = -0.199768
LN = -9.93691; L2 = -0.204176
LN = -9.93691; L2 = -0.204176
LN = -10.039; L2 = -0.175445
LN = -10.039; L2 = -0.175445
LN = -10.0386; L2 = -0.181993
LN = -10.0386; L2 = -0.181993
LN = -9.71131; L2 = -0.167715
LN = -9.71131; L2 = -0.167715
LN = -9.71099; L2 = -0.167775
LN = -9.71099; L2 = -0.167775
LN = -10.0043; L2 = -0.158513
LN = -9.71099; L2 = -0.167775
LN = -9.43066; L2 = -0.165949
LN = -9.43066; L2 = -0.165949
LN = -9.43492; L2 = -0.176063
LN = -9.43492; L2 = -0.176063
LN = -9.45716; L2 = -0.190881
LN = -9.45716; L2 = -0.190881
LN = -9.47492; L2 = -0.190835
LN = -9.47492; L2 = -0.190835
LN = -9.46817; L2 = -0.192272
LN = -9.46817; L2 = -0.192272
LN = -8.64924; L2 = -0.176769
LN = -8.64924; L2 = -0.176769
LN = -8.64298; L2 = -0.172692
LN = -8.64298; L2 = -0.172692
LN = -8.63987; L2 = -0.161769
LN = -8.63987; L2 = -0.161769
LN = -8.62717; L2 = -0.156128
LN = -8.62717; L2 = -0.156128
LN = -8.63028; L2 = -0.157269
LN = -8.63028; L2 = -0.157269
LN = -8.60633; L2 = -0.147822
LN = -8.60633; L2 = -0.147822
LN = -8.67969; L2 = -0.129913
LN = -8.67969; L2 = -0.129913
LN = -8.78135; L2 = -0.149618
LN = -8.78135; L2 = -0.149618
LN = -8.8823; L2 = -0.150718
LN = -8.8823; L2 = -0.150718
LN = -8.85924; L2 = -0.149339
LN = -8.85924; L2 = -0.149339
LN = -8.83693; L2 = -0.149237
LN = -8.83693; L2 = -0.149237
LN = -8.8769; L2 = -0.14831
LN = -8.8769; L2 = -0.14831
LN = -8.87693; L2 = -0.156668
LN = -8.87693; L2 = -0.156668
LN = -8.87152; L2 = -0.153758
LN = -8.87152; L2 = -0.153758
LN = -8.87267; L2 = -0.159439
LN = -8.87267; L2 = -0.159439
LN = -8.87312; L2 = -0.147154
LN = -8.87312; L2 = -0.147154
LN = -8.86487; L2 = -0.147315
LN = -8.86487; L2 = -0.147315
LN = -8.86609; L2 = -0.160725
LN = -8.86609; L2 = -0.160725
LN = -8.24468; L2 = -0.156445
LN = -8.24468; L2 = -0.156445
LN = -8.87222; L2 = -0.162088
LN = -8.87222; L2 = -0.162088
LN = -8.86302; L2 = -0.161974
LN = -8.86302; L2 = -0.161974
LN = -9.56293; L2 = -0.161961
LN = -9.56293; L2 = -0.161961
LN = -9.51673; L2 = -0.160901
LN = -9.51673; L2 = -0.160901
LN = -9.43683; L2 = -0.125244
LN = -9.43683; L2 = -0.125244
LN = -9.43682; L2 = -0.109592
LN = -9.43682; L2 = -0.109592
LN = -10.3385; L2 = -0.108118
LN = -10.3385; L2 = -0.108118
LN = -10.3386; L2 = -0.129247
LN = -10.3386; L2 = -0.129247
LN = -10.3385; L2 = -0.123479
LN = -10.3385; L2 = -0.123479
LN = -9.48107; L2 = -0.148425
LN = -9.48107; L2 = -0.148425
LN = -9.48171; L2 = -0.111899
LN = -9.48171; L2 = -0.111899
LN = -9.59868; L2 = -0.112659
LN = -9.59868; L2 = -0.112659
LN = -9.5873; L2 = -0.113009
LN = -9.5873; L2 = -0.113009
LN = -8.89567; L2 = -0.1384
LN = -8.89567; L2 = -0.1384
LN = -8.89606; L2 = -0.147639
LN = -8.89606; L2 = -0.147639
LN = -8.89493; L2 = -0.207642
LN = -8.89493; L2 = -0.207642
LN = -8.64172; L2 = -0.197775
LN = -8.64172; L2 = -0.197775
LN = -8.64623; L2 = -0.18966
LN = -8.64623; L2 = -0.18966
LN = -7.98275; L2 = -0.167442
LN = -7.98275; L2 = -0.167442
LN = -8.16232; L2 = -0.168229
LN = -8.16232; L2 = -0.168229
LN = -8.16184; L2 = -0.162906
LN = -8.16184; L2 = -0.162906
LN = -8.16181; L2 = -0.154649
LN = -8.16181; L2 = -0.154649
LN = -8.16256; L2 = -0.174261
LN = -8.16256; L2 = -0.174261
LN = -8.16323; L2 = -0.18133
LN = -8.16323; L2 = -0.18133
LN = -8.18848; L2 = -0.129567
LN = -8.18848; L2 = -0.129567
LN = -8.19622; L2 = -0.131644
LN = -8.19622; L2 = -0.131644
LN = -8.19858; L2 = -0.131119
LN = -8.19858; L2 = -0.131119
LN = -8.19539; L2 = -0.131721
LN = -8.19539; L2 = -0.131721
LN = -8.27497; L2 = -0.130953
LN = -8.27497; L2 = -0.130953
LN = -8.63103; L2 = -0.132888
LN = -8.63103; L2 = -0.132888
LN = -8.63095; L2 = -0.13225
LN = -8.63095; L2 = -0.13225
LN = -8.49344; L2 = -0.137406
LN = -8.49344; L2 = -0.137406
LN = -8.49357; L2 = -0.135955
LN = -8.49357; L2 = -0.135955
LN = -8.50172; L2 = -0.136373
LN = -8.50172; L2 = -0.136373
LN = -8.52557; L2 = -0.137738
LN = -8.52557; L2 = -0.137738
LN = -8.50687; L2 = -0.190374
LN = -8.50687; L2 = -0.190374
LN = -8.50616; L2 = -0.201284
LN = -8.50616; L2 = -0.201284
LN = -8.49814; L2 = -0.20286
LN = -8.49814; L2 = -0.20286
LN = -8.50172; L2 = -0.185427
LN = -8.50172; L2 = -0.185427
LN = -8.53016; L2 = -0.183258
LN = -8.53016; L2 = -0.183258
LN = -8.53033; L2 = -0.181642
LN = -8.53033; L2 = -0.181642
LN = -8.57304; L2 = -0.171143
LN = -8.57304; L2 = -0.171143
LN = -8.58078; L2 = -0.156943
LN = -8.58078; L2 = -0.156943
LN = -8.55289; L2 = -0.157084
LN = -8.55289; L2 = -0.157084
LN = -8.51676; L2 = -0.141749
LN = -8.55289; L2 = -0.157084
LN = -9.44305; L2 = -0.144807
LN = -9.44305; L2 = -0.144807
LN = -9.51306; L2 = -0.157611
LN = -9.51306; L2 = -0.157611
LN = -9.49369; L2 = -0.153295
LN = -9.49369; L2 = -0.153295
LN = -9.48268; L2 = -0.160751
LN = -9.48268; L2 = -0.160751
LN = -9.53746; L2 = -0.16065
LN = -9.53746; L2 = -0.16065
LN = -9.64241; L2 = -0.173907
LN = -9.64241; L2 = -0.173907
LN = -9.65011; L2 = -0.130865
LN = -9.65011; L2 = -0.130865
LN = -9.69269; L2 = -0.134008
LN = -9.69269; L2 = -0.134008
LN = -9.79003; L2 = -0.0977506
LN = -9.69269; L2 = -0.134008
LN = -9.65186; L2 = -0.1341
LN = -9.65186; L2 = -0.1341
LN = -9.65242; L2 = -0.132723
LN = -9.65242; L2 = -0.132723
LN = -9.64559; L2 = -0.190847
LN = -9.64559; L2 = -0.190847
LN = -9.6337; L2 = -0.188487
