Iteration CurSyncRatio NextSyncRatio
271 43.5516 42.8287
272 42.8287 92.0165
273 42.8287 39.564
274 39.564 61.2363
275 61.2363 42.8763
276 42.8763 36.8912
277 36.8912 37.0403
278 37.0403 37.6056
279 37.6056 43.2685
280 43.2685 42.2596
281 42.2596 49.4583
282 49.4583 50.115
283 50.115 48.7338
284 48.7338 48.4628
285 48.4628 51.1831
286 51.1831 52.8934
287 51.1831 47.4123
288 47.4123 53.0686
289 53.0686 46.1759
290 46.1759 49.4615
291 49.4615 45.573
292 45.573 42.3902
293 42.3902 41.7682
294 41.7682 41.7222
295 41.7222 41.131
296 41.131 40.5297
297 40.5297 40.5947
298 40.5947 46.6052
299 46.6052 50.2884
300 50.2884 49.545
301 49.545 48.5335
302 48.5335 47.5148
303 47.5148 45.4151
304 45.4151 47.1935
305 47.1935 46.5935
306 46.5935 40.942
307 40.942 39.5089
308 39.5089 44.625
309 44.625 50.0171
310 50.0171 40.9268
311 40.9268 40.7951
312 40.7951 48.7199
313 40.7951 36.772
314 36.772 44.659
315 44.659 41.1306
316 41.1306 41.134
317 41.134 42.4446
318 42.4446 37.9874
319 37.9874 38.9452
320 38.9452 49.172
321 49.172 49.9389
322 49.9389 59.2442
323 59.2442 49.7958
324 49.7958 50.1021
325 50.1021 49.6676
326 49.6676 49.3313
327 49.3313 51.9075
328 51.9075 57.9283
329 57.9283 58.1283
330 58.1283 55.045
331 55.045 60.0406
332 55.045 39.8822
333 39.8822 35.0001
334 35.0001 52.502
335 35.0001 35.159
336 35.159 40.2533
337 40.2533 38.7754
338 38.7754 44.0469
339 38.7754 43.8708
340 43.8708 48.1518
341 48.1518 46.1298
342 46.1298 45.5032
343 45.5032 46.5154
344 46.5154 56.44
345 46.5154 43.1578
346 43.1578 54.1279
347 54.1279 64.2148
348 64.2148 63.3729
349 63.3729 63.2696
350 63.2696 53.8125
351 53.8125 56.384
352 56.384 57.1093
353 57.1093 55.2477
354 55.2477 56.2318
355 56.2318 55.8236
356 55.8236 56.6412
357 55.8236 55.434
358 55.434 53.5576
359 53.5576 53.4908
360 53.4908 45.7736
361 45.7736 46.9705
362 46.9705 47.2033
363 47.2033 47.9387
364 47.9387 66.124
365 66.124 59.552
366 59.552 91.8099
367 59.552 60.4576
368 60.4576 59.5196
369 59.5196 62.6988
370 62.6988 62.72
371 62.72 59.8388
372 59.8388 59.5282
373 59.5282 68.0078
374 59.5282 72.6191
375 59.5282 53.0423
376 53.0423 49.9313
377 49.9313 50.5108
378 50.5108 50.4904
379 50.4904 40.1935
380 40.1935 40.4515
381 40.4515 38.0309
382 38.0309 45.2564
383 45.2564 42.3896
384 42.3896 59.1128
385 42.3896 41.6096
386 41.6096 41.4738
387 41.4738 42.2155
388 42.2155 44.6315
389 44.6315 46.8321
390 46.8321 50.454
391 50.454 49.5061
392 49.5061 47.9231
393 47.9231 57.816
394 47.9231 47.4379
395 47.4379 48.4049
396 48.4049 50.7855
397 50.7855 44.2681
398 44.2681 40.7027
399 40.7027 38.061
400 38.061 37.3402
401 37.3402 37.0336
402 37.0336 42.6047
403 37.0336 37.9024
404 37.9024 50.0895
405 37.9024 48.8259
406 37.9024 45.0768
407 37.9024 44.2981
408 44.2981 41.2286
409 41.2286 41.7033
410 41.7033 42.427
411 42.427 44.9523
412 44.9523 41.1721
413 41.1721 47.7651
414 47.7651 48.0755
415 48.0755 44.3574
416 44.3574 43.9535
417 43.9535 50.6899
418 43.9535 40.6662
419 40.6662 39.6929
420 39.6929 43.662
421 43.662 75.5829
422 43.662 46.6451
423 46.6451 45.1863
424 45.1863 44.0944
425 44.0944 44.3478
426 44.3478 41.7534
427 41.7534 51.2332
428 51.2332 54.0618
429 54.0618 41.3806
430 41.3806 42.511
431 42.511 42.7406
432 42.7406 47.6396
433 47.6396 50.7127
434 50.7127 50.1923
435 50.1923 56.5639
436 50.1923 46.1841
437 46.1841 43.8521
438 43.8521 43.4803
439 43.4803 83.7652
440 43.4803 58.8071
441 43.4803 41.8654
442 41.8654 70.4252
443 70.4252 71.2234
444 71.2234 81.7018
445 71.2234 67.0709
446 67.0709 68.2365
447 68.2365 82.0749
448 82.0749 81.8073
449 81.8073 83.0782
